Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.7110,68.3904,67.1975,68.0000,68.0000,25572433
2020-01-03,66.6612,67.0827,66.4835,67.0745,67.0745,52190993
2020-01-06,65.3248,65.7932,64.5550,64.6718,64.6718,41547862
2020-01-07,64.9071,65.7313,64.2410,65.4695,65.4695,25942455
2020-01-08,64.9789,65.8171,64.5587,65.0682,65.0682,11654863
2020-01-09,64.5655,65.4944,63.8873,64.0265,64.0265,30837643
2020-01-10,64.7411,65.0427,64.0368,64.2944,64.2944,17480747
2020-01-13,64.9897,65.0376,63.9968,64.6479,64.6479,33992452
2020-01-14,65.2000,66.0091,63.9402,65.3845,65.3845,12190998
2020-01-15,67.7292,68.6414,66.8129,67.0307,67.0307,23075967
2020-01-16,67.9176,68.9949,67.6547,68.1588,68.1588,32344209
2020-01-17,70.4292,71.9315,69.7305,70.4979,70.4979,37166220
2020-01-20,70.5305,71.5333,69.0500,70.9144,70.9144,20541778
2020-01-21,71.3369,72.2253,69.6440,71.3287,71.3287,37549747
2020-01-22,70.5769,71.4258,70.2790,71.2998,71.2998,32564668
2020-01-23,71.5819,72.7357,69.4252,71.3525,71.3525,52200044
2020-01-24,71.5084,71.9894,71.0931,71.4573,71.4573,80610783
2020-01-27,73.1296,75.0421,72.5052,73.4048,73.4048,43547565
2020-01-28,73.3398,73.8044,72.1527,73.4798,73.4798,18506593
2020-01-29,72.4720,73.3421,71.5879,72.0621,72.0621,25089747
2020-01-30,73.1718,73.5012,72.1942,73.0016,73.0016,38844693
2020-01-31,72.4541,72.7511,71.6805,72.6443,72.6443,21354402
2020-02-03,70.9110,71.7749,70.6261,71.4544,71.4544,34616584
2020-02-04,70.6134,71.7986,69.1917,70.0976,70.0976,70836935
2020-02-05,70.6651,71.0322,70.0691,70.7634,70.7634,29679561
2020-02-06,71.2361,71.6948,70.2234,71.6198,71.6198,17800901
2020-02-07,71.3568,72.1674,70.9455,71.5543,71.5543,43778442
2020-02-10,71.9163,72.1012,69.5135,71.2930,71.2930,16511172
2020-02-11,74.6767,75.3214,73.7539,74.4381,74.4381,31650872
2020-02-12,73.0390,73.6629,72.2922,73.1911,73.1911,23558474
2020-02-13,73.5395,74.5038,73.2858,73.4457,73.4457,35180878
2020-02-14,72.0918,73.7199,71.2249,72.0176,72.0176,16403365
2020-02-17,69.7100,69.7657,68.0258,69.7435,69.7435,22870072
2020-02-18,69.3989,69.8321,68.8510,69.2680,69.2680,31434298
2020-02-19,67.8892,68.2374,67.8267,68.1455,68.1455,17534636
2020-02-20,68.8862,69.1863,68.2353,68.9722,68.9722,27392129
2020-02-21,69.7983,70.7329,69.1696,69.6492,69.6492,34894337
2020-02-24,68.2771,69.3656,67.7943,68.5214,68.5214,17620477
2020-02-25,69.8769,70.3641,69.7266,69.7748,69.7748,38788752
2020-02-26,69.2102,69.7493,68.5261,69.0915,69.0915,27792316
2020-02-27,68.2698,68.8236,68.1299,68.1302,68.1302,18890404
2020-02-28,68.6106,68.7966,67.9175,68.2614,68.2614,34432919
